%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1430094535578314730,339,1430094535575556730,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0170447508503,0.0133162116018,-0.0159794539221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.906814783166,9.47011322367,2.04093142491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430094575578841651,340,1430094575576238484,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0186426962425,0.0127835631377,-0.0170447508503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.952275154881,9.49643238624,1.99786370434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430094615578311989,341,1430094615575593864,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0175773993144,0.014914156994,-0.0186426962425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.882888271737,9.54907071139,2.13903012177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430094655583069744,342,1430094655575602036,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0191753447066,0.0127835631377,-0.0186426962425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.880495620594,9.49164708396,2.04093142491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430094695578285707,343,1430094695575607290,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0181100477784,0.0122509146736,-0.0207732900988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.892458876308,9.51318094424,2.06964323862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430094735578539003,344,1430094735575646378,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0175773993144,0.0143815085299,-0.0191753447066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.897244178594,9.43900875881,1.97154454176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430094775578298883,345,1430094775575588091,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0202406416347,0.0127835631377,-0.0186426962425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.906814783166,9.46772057253,2.09835505234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430094815578415388,346,1430094815575659805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0207732900988,0.0122509146736,-0.0181100477784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.90202948088,9.46772057253,2.03136082034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430094855578510726,347,1430094855575599476,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0191753447066,0.0138488600659,-0.0175773993144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.870925016022,9.44857936338,1.98350779748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430094895579043231,348,1430094895576441314,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0202406416347,0.0154468054581,-0.0191753447066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.897244178594,9.53710745567,2.03375347148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430094935578302652,349,1430094935575631777,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0175773993144,0.0143815085299,-0.0191753447066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.880495620594,9.49643238624,1.98350779748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430094975578366282,350,1430094975575553949,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0154468054581,0.0127835631377,-0.0165121023862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.911600085452,9.51318094424,2.09356975005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095015578284287,351,1430095015575577995,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0186426962425,0.0143815085299,-0.0181100477784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.904422132023,9.4772911771,2.06007263405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095055578426833,352,1430095055575611375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0165121023862,0.0127835631377,-0.0154468054581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.921170690023,9.55146336253,2.13663747063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095095578337213,353,1430095095575628880,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0175773993144,0.0138488600659,-0.0197079931706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.837427900021,9.48207647938,1.93326212348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095135578700509,354,1430095135575762176,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0175773993144,0.0111856177455,-0.0170447508503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.88528092288,9.4605426191,1.95958128605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095175578509264,355,1430095175575614347,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0165121023862,0.0106529692814,-0.0159794539221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.909207434309,9.43661610767,1.99307840205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095215578264852,356,1430095215575583894,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0202406416347,0.0143815085299,-0.0175773993144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.923563341166,9.5275368511,2.02418286691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095255578314690,357,1430095255575614315,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0186426962425,0.0111856177455,-0.0170447508503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.866139713736,9.48207647938,2.05528733177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095295578272445,358,1430095295575598778,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0154468054581,0.0106529692814,-0.0186426962425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.825464644307,9.4940397351,1.98111514634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095335579252617,359,1430095335575772283,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0186426962425,0.0138488600659,-0.0197079931706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.839820551164,9.48446913053,2.07203588977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095375581299496,360,1430095375575612663,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0181100477784,0.0111856177455,-0.0170447508503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.866139713736,9.43661610767,2.00743430891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095415578260501,361,1430095415575575084,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0191753447066,0.0127835631377,-0.0197079931706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.935526596881,9.4605426191,2.04810937834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095455578248423,362,1430095455575563214,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0191753447066,0.0127835631377,-0.0170447508503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.875710318308,9.43900875881,2.02657551805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095495578551094,363,1430095495575601844,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0159794539221,0.0138488600659,-0.0175773993144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.868532364879,9.48446913053,2.10074770348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095535578292057,364,1430095535575610432,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0181100477784,0.0106529692814,-0.0213059385628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.933133945738,9.5107882931,2.05289468062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095575578298937,365,1430095575575607270,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0181100477784,0.0106529692814,-0.0175773993144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.890066225166,9.49164708396,2.03853877377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095615578425400,366,1430095615575607692,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0186426962425,0.0127835631377,-0.0186426962425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.875710318308,9.47968382824,2.01700491348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095655578290905,367,1430095655575608530,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0186426962425,0.0133162116018,-0.0181100477784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.897244178594,9.46532792138,2.0624652852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095695578280159,368,1430095695575594951,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0170447508503,0.0122509146736,-0.0170447508503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.957060457167,9.42943815424,2.01461226234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095735578271664,369,1430095735575595831,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0197079931706,0.0133162116018,-0.0202406416347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.940311899167,9.43183080538,1.97872249519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095775578292044,370,1430095775575613919,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0170447508503,0.0133162116018,-0.0202406416347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.90202948088,9.46293527024,2.02896816919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095815578311799,371,1430095815575619340,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0159794539221,0.0133162116018,-0.0159794539221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.906814783166,9.45814996796,1.95718863491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095855578533554,372,1430095855575608887,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0207732900988,0.0133162116018,-0.0175773993144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.94270455031,9.37201452681,1.97632984405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095895578311600,373,1430095895575611600,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0191753447066,0.0133162116018,-0.0186426962425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.911600085452,9.46532792138,1.99786370434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095935578429063,374,1430095935575724105,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0197079931706,0.0122509146736,-0.0213059385628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.88528092288,9.46532792138,2.03375347148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430095975578708860,375,1430095975575592360,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0191753447066,0.0111856177455,-0.0170447508503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.928348643452,9.44857936338,2.05050202948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430096015578448281,376,1430096015575604906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0170447508503,0.0106529692814,-0.0175773993144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.971416364025,9.48446913053,1.92369151891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430096055578284119,377,1430096055575601994,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0191753447066,0.0101203208174,-0.0202406416347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.899636829737,9.48207647938,2.02657551805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430096095581539165,378,1430096095578610332,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0191753447066,0.0133162116018,-0.0186426962425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.878102969451,9.4605426191,2.01700491348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
